Material,Description,Supplier,StdNet,StdCost,PB00,COO,HTS Code
ELEC-001,Wireless Speaker Module,Shenzhen Audio Co,89.99,52.40,38.50,CN,8518.22.00
ELEC-002,Bluetooth Adapter PCB,Vietnam Electronics,24.99,14.80,9.20,VN,8542.31.00
MECH-001,Precision Gear Assembly,Thai Precision Ltd,145.00,88.50,62.00,TH,8479.89.00
CASE-001,Molded Carrying Case,Jakarta Cases Inc,34.99,22.10,15.80,ID,4202.92.00
CABL-001,USB-C Braided Cable 2m,Dongguan Cables,12.99,7.80,4.50,CN,8544.42.00
ELEC-003,Digital Display Module,Malaysia Tech Sdn,67.50,41.20,28.00,MY,8471.60.00
MECH-002,Aluminum Housing CNC,Guadalajara Mfg,92.00,58.40,48.00,MX,7616.99.00
ELEC-004,Power Supply Unit,Seoul Power Corp,55.00,33.60,22.50,KR,8504.40.00
CABL-002,Fiber Optic Patch Cable,Osaka Fiber KK,28.50,18.20,14.00,JP,8544.70.00
PACK-001,Retail Box Set,Shanghai Packaging,8.99,5.40,3.20,CN,4819.10.00
